Name,Ring,Quadrant,IsNew,Description
WCAG AA (Web Content Accessibility Guidelines Level AA),adopt,techniques,false,WCAG AA refers to a set of accessibility guidelines established by the World Wide Web Consortium (W3C) to ensure that web content is accessible to users with disabilities. Adhering to these guidelines helps make digital content more inclusive and usable for all users.
Web Vitals,adopt,techniques,false,"Web Vitals are a set of metrics introduced by Google to measure and quantify the user experience of web pages, including metrics such as loading time, interactivity, and visual stability. Optimizing for Web Vitals helps improve the performance and usability of web applications."
Unit Testing,adopt,techniques,false,Unit testing involves testing individual units or components of a software application in isolation to ensure they behave as expected. It helps verify the correctness of code and detect defects early in the development process.
Integration Testing,adopt,techniques,false,Integration testing involves testing the interactions and interfaces between different components or systems of a software application to ensure they work together correctly.
Performance Testing,adopt,techniques,false,"Performance testing involves evaluating the speed, responsiveness, and scalability of a software application under various conditions to identify performance bottlenecks and optimize performance."
Accessibility Testing,adopt,techniques,false,Accessibility testing involves evaluating the accessibility of a software application or website to ensure it can be used by people with disabilities. It includes testing for compliance with accessibility standards and guidelines such as WCAG.
Load Testing,adopt,techniques,false,"Load Testing is a software testing technique used to evaluate the performance and behavior of a system under expected load conditions. "
Code Profiling,assess,techniques,false,Code profiling involves analyzing the performance of a software application to identify areas of inefficiency or bottlenecks. It helps developers optimize code for better performance and resource utilisation.
C4 Diagrams,adopt,techniques,false,"C4 (Context, Containers, Components, Code) diagrams are a set of visual diagrams used to describe and communicate software architecture at different levels of abstraction, from high-level context diagrams to detailed component and code-level diagrams."
Post Incident Reviews,adopt,techniques,false,"Post-incident reviews, also known as postmortems or blameless retrospectives, are meetings or discussions held after an incident or outage to analyze what happened, identify contributing factors, and determine actions to prevent similar incidents in the future."
Incident Response Document,adopt,techniques,false,"Incident response documents are documentation or guidelines that outline procedures and protocols for responding to and managing security incidents, data breaches, or other emergencies."
Linting,adopt,techniques,false,"Linting involves analyzing code for potential errors, bugs, or stylistic inconsistencies using static code analysis tools or linters. It helps enforce coding standards and best practices."
Continuous Integration,adopt,techniques,false,Continuous Integration is a software development practice where code changes are frequently integrated into a shared repository and automatically tested and verified using automated build and test processes.
Infrastructure as Code,adopt,techniques,false,"Infrastructure as Code (IaC) is a software development practice that involves managing and provisioning infrastructure resources using code and automation tools. "
Design System,adopt,techniques,false,"A design system is a collection of reusable components, patterns, and guidelines used to create consistent and cohesive user interfaces across an organization's digital products and platforms.

"
Error Tagging,adopt,techniques,false,"Error tagging involves categorizing and labeling errors and exceptions that occur in software applications to facilitate monitoring, debugging, and troubleshooting. It helps identify recurring issues and prioritize bug fixes and improvements."
Visual Testing,assess,techniques,false,Visual testing involves comparing screenshots or snapshots of a software application's user interface against baseline images to detect visual regressions or unintended changes in appearance.
Continuous Deployment,adopt,techniques,false,Continuous Deployment is a software development practice where code changes are automatically deployed to production environments as soon as they pass automated tests and quality checks.
Blue/Green Deployments,adopt,techniques,false,"Blue/Green Deployments is a deployment strategy where two identical production environments (blue and green) are maintained, with only one environment serving live traffic at a time. New code releases are deployed to the inactive environment, allowing for zero-downtime deployments and easy rollback in case of issues."
Monitoring and Alerting,adopt,techniques,false,"Monitoring and alerting involve continuously observing the performance, availability, and health of systems, applications, and infrastructure components in real-time. "
Code Reviews,adopt,techniques,false,"Code reviews involve systematically reviewing and analyzing code changes made by developers before they are merged into the main codebase. Code reviews aim to improve code quality, identify defects, enforce coding standards, share knowledge, and foster collaboration among team members."
Pair programming,adopt,techniques,false,"Pair programming is an agile software development practice where two developers work together on the same codebase, with one actively writing code (the driver) and the other providing feedback and suggestions (the navigator). It helps improve code quality, knowledge sharing, and collaboration among team members."
End to End Testing,adopt,techniques,false,E2E testing involves testing an entire software application from start to finish to ensure that all components and systems work together as expected. It helps validate the behavior and functionality of the application from the user's perspective.
Microservices,adopt,techniques,false,"Microservices are an architectural style in software development where an application is composed of small, independent services, where each microservice focuses on a specific business function and can be developed, deployed, and scaled independently. This approach enhances flexibility, scalability, and maintainability, allowing teams to work on different services concurrently and choose the most appropriate technologies for each one."
Feature Toggles,adopt,techniques,false,"Feature toggles, also known as feature flags, are a technique in software development that allows developers to enable or disable specific features or functionality within an application without deploying new code. This provides flexibility to manage features dynamically and can help in various scenarios such as incremental feature releases, A/B testing, and continuous integration."
Agile,adopt,techniques,false,"Agile is a project management and software development approach that emphasizes flexibility, collaboration, and customer-centricity. It focuses on delivering small, incremental changes through iterative cycles, allowing teams to adapt to changing requirements and feedback."
MTLS,,techniques,true,"mTLS (Mutual TLS) is a security protocol where both the client and server authenticate each other using certificates during a TLS handshake.

It’s used to ensure secure, trusted communication between systems — protecting against unauthorized access and man-in-the-middle attacks."
Least Privilege,adopt,techniques,false,"A security practice that prescribes giving users, systems, or processes only the minimum access necessary to perform their specific tasks. This approach reduces the risk of accidental or malicious misuse of sensitive data or systems by limiting exposure and potential attack surfaces"
Cost Optimisation,adopt,techniques,false,The Cost Optimization pillar of the AWS Well-Architected Framework focuses on designing cloud workloads that deliver maximum business value at the lowest possible cost.
