Name,Ring,Quadrant,Status,Description
ADP,adopt,platforms,No Change,SaaS for processing employee wages and managing payroll-related tasks.
Adyen,adopt,platforms,No Change,Adyen is a global payment platform that helps businesses accept payments online and in-store. It offers a unified system for processing transactions across various payment methods and regions.
Algolia,adopt,platforms,No Change,"Algolia is a hosted search API service that provides developers with tools to implement fast and relevant search functionality into their applications or websites. It offers features such as real-time indexing, typo tolerance, faceted search, and customizable relevance ranking."
Auth0,adopt,platforms,No Change,"Auth0 is an identity and access management platform that provides authentication and authorization services for web and mobile applications. It offers features such as single sign-on (SSO), social login, multi-factor authentication (MFA), and user management."
AWS,adopt,platforms,No Change,"Amazon Web Services (AWS) is a comprehensive cloud platform offering a wide range of services, including computing power, storage, databases, machine learning, networking, and security."
Azure DevOps,caution,platforms,Moved Out,"Azure DevOps is a set of cloud-based collaboration tools provided by Microsoft for software development teams. It includes services for version control (Azure Repos), continuous integration and delivery (Azure Pipelines), agile planning (Azure Boards), and collaboration (Azure Artifacts)."
Azure Service Bus,,platforms,No Change,"Azure Service Bus is a fully managed, enterprise-grade message broker. It enables reliable, asynchronous communication between decoupled applications, microservices, and devices—even when they are temporarily offline."
CentOS/RHEL,caution,platforms,No Change,"CentOS (Community Enterprise Operating System) and RHEL (Red Hat Enterprise Linux) are Linux distributions based on the open-source Fedora project and maintained by Red Hat. CentOS is a free, community-supported version of RHEL, while RHEL is a commercial distribution with enterprise support."
Contentstack,adopt,platforms,No Change,"Contentstack is a headless content management system (CMS) that allows businesses to create, manage, and deliver digital content across various channels and devices. It enables developers to build customisable content APIs and integrations with other systems."
Drupal,caution,platforms,Moved Out,"Drupal is a content management system (CMS) written in PHP and used for building websites and web applications. It provides a flexible and extensible platform for managing digital content, creating custom workflows, and building dynamic websites."
Experience Cloud,adopt,platforms,No Change,"(Formerly Community Cloud) Salesforce platform that for building CRM‑connected portals, websites, and applications for customers, partners, and employees."
Fastly,adopt,platforms,No Change,"Fastly is a comprehensive platform that provides a range of services designed to accelerate web performance, enhance security, and enable edge computing."
Fleetio,assess,platforms,Moved Out,"Cloud SaaS for managing and optimising fleet operations through tracking, maintenance, and asset management."
Formstack,adopt,platforms,No Change,"Formstack is an online form builder tool that allows users to create and manage various types of forms, including surveys, registrations, order forms, and more. It offers features for form customization, data collection, and integration with third-party applications."
GitHub,adopt,platforms,No Change,"It is a web-based platform for version control and collaboration that uses Git. GitHub enables developers to store code repositories, collaborate with other developers, track issues, and automate workflows."
Hybris,caution,platforms,No Change,"Java-based platform built on Spring, designed for scalable, headless commerce and real-time customer data integration across digital channels."
Integration Platform (WSO2),adopt,platforms,No Change,
InTune,adopt,platforms,No Change,"Intune is a cloud-based service that helps organizations manage and secure their devices, apps, and data. It provides Device Management, Application Management, Endpoint Security, Compliance & Conditional Access"
Kaptio,adopt,platforms,No Change,"(aka Kaptio Travel) Newly introduced Tour Managent platform built on Salesforce by Kaptio. Handles product authoring, departure and itinerary management and supplier costing."
New Relic,adopt,platforms,No Change,"New Relic is a monitoring and observability platform that helps organizations monitor, troubleshoot, and optimize the performance of their software applications and infrastructure. It provides real-time insights into application performance, user experience, and system health."
NGINX,caution,platforms,No Change,"Nginx is a high-performance, open-source web server and reverse proxy server used to serve static content, handle load balancing, and proxy requests to backend servers. Nginx is known for its efficiency, scalability, and ability to handle high traffic loads."
Platform.sh,assess,platforms,Moved Out,"Platform.sh is a cloud hosting platform designed for web applications. It provides a fully managed platform-as-a-service (PaaS) solution that automates deployment, scaling, and management of web applications built with various programming languages and frameworks."
PowerBI,adopt,platforms,No Change,
Proofpoint,adopt,platforms,No Change,"Proofpoint is a cloud-based cybersecurity platform that focuses on email security, threat protection, and data loss prevention.

It’s used to detect and block phishing, malware, and advanced threats, protect sensitive data, and ensure email compliance and security across organizations."
Raisely,adopt,platforms,No Change,"Raisely is a fundraising platform that helps organizations create and manage online fundraising campaigns. It provides tools for creating customized donation pages, managing donor relationships, and tracking campaign performance."
SafetyCulture,adopt,platforms,No Change,"Mobile-first platform for inspections, workflows, and real-time operational data."
Sales Cloud,adopt,platforms,No Change,Salesforce platform for managing the sales pipeline from lead to closed deal.
Service Cloud,adopt,platforms,No Change,"Salesforce platform for customer support by managing cases, issues, and ongoing service."
SuccessFactors,adopt,platforms,No Change,"Provides cloud-based tools for managing employee data, performance, and HR processes across the employee lifecycle."
Tealium,adopt,platforms,No Change,Provides tools for collecting and routing customer data across systems to support analytics and digital experience management.
Tour Optima,assess,platforms,No Change,"TourOptima is a specialised, multi-channel guest communication and operations platform designed specifically for tour operators and attractions."
urllo,assess,platforms,No Change,Used for full domain redirects. Not suitable for website and blog redirects. Recently changed names from EasyRedir to urllo.
Ventrata,assess,platforms,Moved Out,"Ventrata provides an enterprise ticketing and point-of-sale system designed to streamline sales and operations for tours, attractions, and experiences. It has moved out to ‘assess’ due to the lack of capabilities and features it has when it comes to product, content, pricing and integration capabilities."
Wordpress,caution,platforms,No Change,"WordPress is a free and open-source content management system (CMS) written in PHP and paired with a MySQL or MariaDB database. It's widely used for creating websites, blogs, and online stores due to its ease of use, extensive plugin ecosystem, and customizable themes."
