name,ring,quadrant,status,description
SASS,adopt,languages & frameworks,No Change,"SASS (Syntactically Awesome Style Sheets) is a preprocessor scripting language that is interpreted or compiled into Cascading Style Sheets (CSS). It extends CSS with features like variables, nesting, mixins, and functions, making it easier to write and maintain stylesheets. SASS helps developers write more organized and maintainable CSS code for web projects."
Nuxt.js,adopt,languages & frameworks,No Change,"Nuxt.js is a framework for building server-side rendered (SSR) and statically generated Vue.js applications. It provides a streamlined development experience with features such as automatic routing, server-side rendering, and static site generation. Nuxt.js simplifies the process of building Vue.js applications by providing conventions and best practices out of the box."
Vue.js,adopt,languages & frameworks,No Change,"Vue.js is a progressive JavaScript framework for building user interfaces. It is designed to be incrementally adoptable, meaning it can be easily integrated into existing projects and scaled up as needed. Vue.js provides features such as data binding, component-based architecture, and a reactive virtual DOM, making it suitable for building modern web applications."
PHP,hold,languages & frameworks,No Change,"PHP is a server-side scripting language designed for web development but also used as a general-purpose programming language. It is widely used for building dynamic web applications, content management systems (CMS), and e-commerce platforms. PHP provides features such as built-in support for web servers, database integration, and extensive libraries for various tasks."
Javascript,adopt,languages & frameworks,No Change,"JavaScript is a programming language that is primarily used for front-end web development. It enables interactive and dynamic behavior in web browsers, allowing developers to manipulate the DOM, handle events, and interact with web APIs. JavaScript is also used for server-side development (Node.js), mobile app development (React Native, Ionic), and desktop app development (Electron)."
TypeScript,adopt,languages & frameworks,No Change,"TypeScript is a statically typed superset of JavaScript that adds optional static typing and other features to the language. It is designed to enhance JavaScript development by providing type checking, interfaces, generics, and other advanced features that help catch errors early and improve code maintainability and scalability."
jQuery,hold,languages & frameworks,No Change,"jQuery is a fast, small, and feature-rich JavaScript library designed to simplify client-side scripting in HTML. It provides a set of convenient methods for DOM manipulation, event handling, AJAX requests, and animation. jQuery makes it easier to write concise and efficient JavaScript code, especially for tasks that involve interacting with the DOM and handling user interactions on web pages."
Bootstrap,hold,languages & frameworks,No Change,"Bootstrap is a popular open-source front-end framework for building responsive and mobile-first web projects. It provides a collection of CSS and JavaScript components, such as buttons, forms, navigation bars, and modals, that can be easily integrated into web applications. Bootstrap simplifies the process of building modern and visually appealing user interfaces."
LESS,hold,languages & frameworks,No Change,"LESS is a dynamic stylesheet language that extends CSS with features like variables, mixins, nested rules, and functions. It simplifies the process of writing and maintaining stylesheets by providing more flexibility and organization. LESS code is compiled into standard CSS, making it compatible with all modern web browsers."
API Platform,hold,languages & frameworks,No Change,"API Platform is a set of open-source tools and libraries for building API-driven web applications in PHP. It provides a framework-agnostic library for building REST and GraphQL APIs with Symfony, as well as a client-side JavaScript framework for consuming those APIs. API Platform emphasizes simplicity, performance, and flexibility in API development."
Symfony,hold,languages & frameworks,No Change,"Symfony is a PHP framework for building web applications and APIs. It follows the model-view-controller (MVC) architectural pattern and provides reusable components, libraries, and tools for rapid development. Symfony emphasizes code reusability, testability, and performance, making it suitable for building complex and scalable web projects."
Angular,hold,languages & frameworks,No Change,"Angular is a popular open-source web application framework developed by Google for building single-page applications (SPAs) and dynamic web applications. It provides a comprehensive set of tools and libraries for building client-side applications, including features such as two-way data binding, dependency injection, and component-based architecture."
NodeJS,adopt,languages & frameworks,No Change,"It is a runtime environment that enables the execution of JavaScript code outside a web browser, primarily on the server side. Node.js provides a robust platform for building scalable, high-performance applications, supporting non-blocking, event-driven programming, and offering an extensive package ecosystem via npm (Node Package Manager)."
.NET,hold,languages & frameworks,No Change,".NET is a free, open-source developer platform from Microsoft for building many types of applications across web, mobile, desktop, and cloud."
React.js,hold,languages & frameworks,No Change,"JavaScript library built around reusable components and a virtual DOM. Typically used alongside tools like Node.js, npm or Yarn, and often Redux for state management to develop modular, interactive web applications that are scalable and maintainable."
,,languages & frameworks,,
Blazor,,languages & frameworks,,"Blazor is a free, open-source frontend web framework developed by Microsoft as part of ASP.NET Core, allowing developers to build interactive web user interfaces using C# and HTML instead of JavaScript."
ADP,adopt,platforms,No Change,SaaS for processing employee wages and managing payroll-related tasks.
Adyen,adopt,platforms,No Change,Adyen is a global payment platform that helps businesses accept payments online and in-store. It offers a unified system for processing transactions across various payment methods and regions.
Algolia,adopt,platforms,No Change,"Algolia is a hosted search API service that provides developers with tools to implement fast and relevant search functionality into their applications or websites. It offers features such as real-time indexing, typo tolerance, faceted search, and customizable relevance ranking."
Auth0,adopt,platforms,No Change,"Auth0 is an identity and access management platform that provides authentication and authorization services for web and mobile applications. It offers features such as single sign-on (SSO), social login, multi-factor authentication (MFA), and user management."
AWS,adopt,platforms,No Change,"Amazon Web Services (AWS) is a comprehensive cloud platform offering a wide range of services, including computing power, storage, databases, machine learning, networking, and security."
Azure DevOps,caution,platforms,Moved Out,"Azure DevOps is a set of cloud-based collaboration tools provided by Microsoft for software development teams. It includes services for version control (Azure Repos), continuous integration and delivery (Azure Pipelines), agile planning (Azure Boards), and collaboration (Azure Artifacts)."
Azure Service Bus,,platforms,No Change,"Azure Service Bus is a fully managed, enterprise-grade message broker. It enables reliable, asynchronous communication between decoupled applications, microservices, and devices—even when they are temporarily offline."
CentOS/RHEL,caution,platforms,No Change,"CentOS (Community Enterprise Operating System) and RHEL (Red Hat Enterprise Linux) are Linux distributions based on the open-source Fedora project and maintained by Red Hat. CentOS is a free, community-supported version of RHEL, while RHEL is a commercial distribution with enterprise support."
Contentstack,adopt,platforms,No Change,"Contentstack is a headless content management system (CMS) that allows businesses to create, manage, and deliver digital content across various channels and devices. It enables developers to build customisable content APIs and integrations with other systems."
Drupal,caution,platforms,Moved Out,"Drupal is a content management system (CMS) written in PHP and used for building websites and web applications. It provides a flexible and extensible platform for managing digital content, creating custom workflows, and building dynamic websites."
Experience Cloud,adopt,platforms,No Change,"(Formerly Community Cloud) Salesforce platform that for building CRM‑connected portals, websites, and applications for customers, partners, and employees."
Fastly,adopt,platforms,No Change,"Fastly is a comprehensive platform that provides a range of services designed to accelerate web performance, enhance security, and enable edge computing."
Fleetio,assess,platforms,Moved Out,"Cloud SaaS for managing and optimising fleet operations through tracking, maintenance, and asset management."
Formstack,adopt,platforms,No Change,"Formstack is an online form builder tool that allows users to create and manage various types of forms, including surveys, registrations, order forms, and more. It offers features for form customization, data collection, and integration with third-party applications."
GitHub,adopt,platforms,No Change,"It is a web-based platform for version control and collaboration that uses Git. GitHub enables developers to store code repositories, collaborate with other developers, track issues, and automate workflows."
Hybris,caution,platforms,No Change,"Java-based platform built on Spring, designed for scalable, headless commerce and real-time customer data integration across digital channels."
Integration Platform (WSO2),adopt,platforms,No Change,
InTune,adopt,platforms,No Change,"Intune is a cloud-based service that helps organizations manage and secure their devices, apps, and data. It provides Device Management, Application Management, Endpoint Security, Compliance & Conditional Access"
